timestamp,flow_activity,heart_rate,flow_intensity,flow_frequency,focus_indicator,likelihood_frustrated,likelihood_excited,likelihood_calm,button_press
1744890955.38,28.198171855858977,78.0,44.24923827327457,9.0,3.970835336941647,0.6509871801019159,0.9188339495163407,0.4844187348450653,0.0
1744890958.415,39.74749653498817,74.0,47.394790222911745,11.0,7.861763389841759,0.6174831632950086,0.8503423590198051,0.7004103641806019,0.0
1744890961.32,42.29353652872648,73.0,48.03897355363603,10.5,11.886740345703481,0.6432643088946172,0.9121294533992128,0.49634507205823736,0.0
1744890964.361,60.94710396747877,70.0,54.56129331978282,10.0,12.391666910212221,0.5633735674363992,0.9049853168353562,0.7462544234519733,0.0
1744890967.27,45.46001814452258,70.0,48.10834089355108,10.0,14.51670838185699,0.47100524347711964,0.8738130716632104,0.8254018151524478,0.0
1744890970.288,55.7708329577742,71.0,52.82118039907259,10.5,12.85259714994586,0.4695413632028849,0.8634738301546818,0.8404725887978497,0.0
1744890973.212,40.47999909264274,71.0,46.44999962193448,11.0,12.298732292090527,0.43564534795681875,0.7904086699138847,0.8597898538265774,0.0
1744890976.234,27.663838690387223,73.0,41.94326612099467,10.0,15.633748536457897,0.41572460064944705,0.7771623338222796,0.8551573436435491,0.0
1744890979.14,59.491669439511234,73.0,55.20486226646302,11.5,17.370451527523542,0.4530757107044705,0.780338249475769,0.8799479149914066,0.0
1744890982.184,41.33993531956072,77.0,49.3083063831503,11.5,17.87894962523154,0.4746107489074072,0.8372612665231085,0.8289869061554225,0.0
1744890985.117,27.894636932639013,79.0,44.53943205526625,10.5,24.14230339360656,0.42639990585715576,0.8576196106594847,0.8281817859446037,0.0
1744890988.144,48.49256202370706,81.0,53.95523417654461,11.0,26.868068457031345,0.42812326551270524,0.862585712823901,0.83939773682545,0.0
1744890991.036,62.347736382200175,81.0,59.72822349258341,10.5,23.2414434171894,0.42768556424186627,0.8684991632863984,0.870958991231684,0.0
1744890994.058,57.723140360515856,81.0,57.801308483548276,11.5,23.979819485342773,0.41607502194350415,0.8146694690054836,0.8771719122007609,0.0
1744890996.99,45.960076621722685,81.0,52.9000319257178,13.5,25.174459182486558,0.43566425837581674,0.8504232622872884,0.8164500029915231,0.0
1744890999.997,39.726822709560416,86.0,52.38617612898351,12.5,20.55253481247088,0.4353760056401389,0.8644243470014306,0.7957785238590498,0.0
1744891002.96,32.197631523897456,87.0,49.66567980162394,13.0,20.178822797063653,0.38051600247340095,0.7842823267981591,0.7906645879775899,0.0
1744891005.914,35.93724589970093,93.0,53.72385245820872,13.0,23.462367542264513,0.3846263458764637,0.7996310572576958,0.7729691703014591,0.0
1744891008.814,109.28183919884142,95.0,85.11743299951726,13.0,20.482361918536753,0.618498551167895,0.8537492560249915,0.7140460144019907,0.0
1744891011.872,72.74462892493786,103.0,73.22692871872411,13.0,16.55211822321791,0.6478428017071903,0.7681476354820252,0.6609772258630934,0.0
1744891015.724,58.0703802002263,103.0,67.11265841676095,10.0,13.706029148650343,0.6068637565526587,0.8222287435145992,0.6289552563747771,0.0
1744891017.756,56.15644163566172,101.0,65.48185068152573,10.5,8.01691290558801,0.5972381990295419,0.8136754425846013,0.5962306938887669,0.0
1744891021.659,20.068713346368824,99.0,49.61196389432034,9.0,7.462452095201192,0.529872450229004,0.7936100519090749,0.5648858454396677,0.0
1744891024.634,20.39051382986039,96.0,48.49604742910849,11.0,14.028718413884475,0.5320063457338894,0.785826154101003,0.5454046389196343,0.0
1744891027.577,11.039351584135316,95.0,44.18306316005638,10.0,22.81850783001877,0.5522591949971715,0.8651879100074881,0.20225857098336175,0.0
1744891030.602,27.96884956439976,95.0,51.237020651833234,10.0,31.263194561280432,0.490034379405521,0.8585977609383987,0.39044919628236235,0.0
1744891033.519,23.777195318803564,97.0,50.32383138283482,10.5,37.72141051983632,0.40857711323039236,0.8256173709176196,0.48946506299440495,0.0
1744891036.512,47.806615325181276,100.0,61.586089718825534,9.0,34.93225258046545,0.3580912103955589,0.8238488278754383,0.5519541524122796,0.0
1744891039.459,29.006009910043154,101.0,54.169170795851315,10.0,32.73921547402174,0.21606305994935354,0.7154346941063262,0.5853330782107136,0.0
1744891042.427,11.606307794657509,108.0,49.8359615811073,8.5,30.477201567125572,0.18727964011733667,0.6650827922701316,0.565518800938719,0.0
1744891045.392,18.800371626277432,110.0,53.66682151094893,7.0,26.47578038836605,0.17507601763372785,0.6205077134231773,0.538984811107248,0.0
1744891048.366,23.49529695338615,113.0,56.873040397244225,7.5,24.463397929539656,0.1786709320637865,0.6297126303587905,0.4828537607431467,0.0
1744891051.309,68.02602128536626,112.0,75.01084220223593,8.0,20.79010377370933,0.3097057825113651,0.6706913267186848,0.4694417658083865,0.0
1744891054.303,45.013932349379026,108.0,63.7558051455746,7.5,16.41687456146976,0.34784993512595763,0.6856799008679502,0.4189827502604693,0.0
